Placement,Name,Time
1,Guanium,3:01.683
2,AroundAverage,3:03.467
3,06bob,3:09.533
4,WinterSolstice,3:29.184
5,BTD 6 No0o0b,3:34.233
6,donkeymule2,3:42.917
7,ZeroLancer,3:52.666
8,FeedMePi314,4:12.35
9,Essi,4:12.834
10,Olinequ,4:30.6
11,01191020csl,4:41.767
12,Shhdaddysworkn,4:50.567
13,Vert,4:55
14,BengPro,5:02.083
15,Gumball,5:11.483
16,KuroNoTsubasa,5:12.55
17,Caleb Fraser,5:12.85
18,Thedonald,5:15.217
19,Patthebigmonke,5:19.584
20,Domingus Boomr,5:27.984
21,WOR Z333 LAK,5:36.717
22,SupremeAvocado,5:40.133
23,108r5meme,5:45.866
24,K4S6M,5:49.017
25,hengzwis,5:53.2
26,nobody02983,5:58.016
27,Bonzo,6:03.117
28,WOR ZOI1 LAK,6:05.717
29,AUTUMN,6:07.434
30,JustANoob,6:10.067
31,Za Goul,6:10.884
32,Adeemthebeam,6:20.283
33,<elves>,6:25.633
34,High Wizard jp,6:29.15
35,Hopper,6:32.783
36,Nocturnal,6:35.233
37,Cold moon,6:35.733
38,64918652,6:37.266
39,Axenow,6:37.6
40,Maistas,6:38.833
41,Pancake <3,6:40.634
42,Ayeccs,6:45.3
43,Dasius,6:45.967
44,Dakota Jackson,6:47.033
45,NIK,6:49.866
46,Monster,6:50.5
47,Liam,6:51.583
48,Kerone,6:53.933
49,shorti,6:54.933
50,Player7636396,7:00.75
51,choccy onion,7:01.783
52,Thunder,7:09.633
53,ikun,7:12.867
54,2649935474,7:13.783
55,CameronD,7:14.733
56,Snubi,7:20.034
57,CyanRabbit2842,7:21.133
58,GQC,7:28.833
59,ILoveThisGame,7:30.517
60,Player8313015,7:31.75
61,druck3r,7:33.867
62,TheIvyX,7:41.434
63,ivwaurt,7:42.917
64,Loconch,7:44.75
65,Mihitra,7:46.584
66,Arthur,7:52.1
67,crazysheep,7:53.25
68,SebasTheGamer12,7:53.417
69,etihw,7:54.034
70,Eumenides,7:54.15
71,FraiseTagada,7:57.067
72,Aleccrazy,8:03.183
73,Lazlo,8:03.666
74,Pablor,8:04.717
75,Power,8:06.933
76,kanou-suguru,8:08.184
77,KotalKatil,8:10.333
78,ToddChris,8:11.133
79,Player7917834,8:11.266
80,SuperKyle,8:13.233
81,Stage 2 Ligma,8:13.633
82,Player7809361,8:14.917
83,Player,8:17.55
84,A'nan,8:18.3
85,Woalight,8:19.15
86,Pilsmannen10,8:21.6
87,Totti,8:22.334
88,Xi-temper,8:22.567
89,Mentor,8:22.65
90,laplacian,8:23.167
91,Captain-Gunfire,8:23.183
92,wwwseee723,8:24.167
93,mdeschu,8:24.617
94,WoollyStress38,8:25.367
95,Coliflower,8:27.334
96,940909681,8:27.5
97,HyFYL,8:32.783
98,CyberRail,8:32.884
99,marcoleong007,8:36.367
100,Y,8:37.567
